诗人,作品,问题,答案
王维,使至塞上,找出王维《使至塞上》涉及的意象。,征蓬、 归雁、大漠、孤烟、长河、落日
王维,使至塞上,说说王维《使至塞上》中的这些意象营造了怎样的氛围？,"征蓬——漂泊无依 归雁——孤寂落寞
大漠、孤烟、长河、落日——阔大的境界"
王维,使至塞上,“蓬草”在古代诗文中一般比喻什么?,“蓬草”随风飞转，古代文学中常用它比喻漂泊不定的行踪。
王维,使至塞上,王维《使至塞上》中的“征蓬”表达了诗人什么感情?,王维用“征蓬”自喻，流露了身不由己的感觉，他为自己受排挤离开朝廷感到十分忧愤
王维,使至塞上,王维《使至塞上》颈联是写景名句，依据这首诗，描述一下王维看到的景色以及当时的心情,一个“孤”字写出了景物的单调，紧接一个“直”字，却又表现了它的劲拔、坚毅之美。落日，本来容易给人以感伤的印象，这里用一“圆”字，却给人以亲切温暖而又苍茫的感觉。“直”和“圆”准确地描写了沙漠的景象，而且表现了作者深切的感受。“直”字荒凉孤独中透着挺拔雄伟，“圆”字苍茫壮阔中显现柔和温暖。诗人把自己的孤寂情绪巧妙地溶化在广阔的自然景象的描绘中。
王维,使至塞上,结合你的经验，边塞诗表现的思想感情分类有哪些？,（1）描绘边塞雄奇壮丽的独特景观；（2）描写艰苦激烈的戍边生活；（3）对家乡亲人的思念；（4）愿意戍守边关、渴望建功立业，不惜为国捐躯的豪情壮志等
王维,使至塞上,写进入边塞后所看到的塞外奇特壮丽的风光，画面开阔，意境雄浑，近人王国维称之为“千古壮观”的名句是什么,大漠孤烟直，长河落日圆
王维,使至塞上,《红楼梦》第四十八回香菱学诗里说的那段话可算道出了诗中某联高超的艺术境界，是哪一句。,大漠孤烟直，长河落日圆
王维,使至塞上,请问《使至塞上》的作者是谁？他是哪个朝代的诗人？,《使至塞上》的作者是王维，他是我国唐代的诗人。
王维,使至塞上,请问《使至塞上》这首诗，是王维在什么样的情况下创作出来的？,唐玄宗开元二十五年（公元 737 年），河西节度副大使崔希逸在青海西部大破吐蕃军，唐玄宗命王维以监察御史的身份出使凉州，出塞宣慰、察访军情，实则王维是被排挤出了朝廷，这首诗就写于此次出塞的途中。
王维,使至塞上,请问《使至塞上》中，“单车欲问边” 里的 “单车” 是什么意思？,“单车” 指一辆车，在诗句中形容诗人轻车简从的状态。
王维,使至塞上,请问《使至塞上》里，流传最广的千古名句是哪两句？,这首诗的经典千古名句是 “大漠孤烟直，长河落日圆”。
王维,使至塞上,请问诗句 “萧关逢候骑，都护在燕然” 中，“候骑” 指的是什么人？,“候骑” 指的是负责侦察、通讯的骑兵，也就是侦察骑兵。
王维,使至塞上,请问《使至塞上》的首联 “单车欲问边，属国过居延”，交代了诗人此行的哪些核心信息？,这两句诗交代了诗人此次出使的核心目的 —— 奉命去慰问边关将士，同时也交代了此行要抵达的地点。
王维,使至塞上,《使至塞上》中，诗人用 “征蓬” 和 “归雁” 自比，请问这两个意象表达了诗人怎样的情感？,诗人以随风而去的蓬草、北归的大雁自比，既写出了自己出使边塞的漂泊状态，也抒发了自己被排挤出朝廷的孤寂、飘零之感，暗含着内心的愤懑与抑郁。
王维,使至塞上,请你说说 “大漠孤烟直，长河落日圆” 这两句诗，描绘了什么样的边塞景象？,这两句诗描绘了浩瀚无垠的沙漠中，一缕孤烟笔直地向上升腾；滔滔黄河边上，一轮浑圆的落日正缓缓落下，展现出边塞大漠壮阔雄奇、境界阔大的雄浑景象。
王维,使至塞上,请问从题材上来说，《使至塞上》属于什么类型的诗歌？,这首诗是诗人奉命赴边疆慰问将士途中所作，属于边塞诗，同时也是一首记述出使旅程的记行诗。
王维,使至塞上,《使至塞上》的尾联 “萧关逢候骑，都护在燕然”，流露出了诗人什么样的情感？,这两句写诗人到萧关时遇到了侦察骑兵，得知主帅仍在前线未归，虚写战争已取得胜利，流露出诗人对戍边边塞将领的赞叹之情。
王维,使至塞上,苏轼曾评价王维的诗作 “诗中有画”，请结合《使至塞上》的内容，说说这首诗是如何体现这一特点的？,这首诗的 “诗中有画” 集中体现在颈联 “大漠孤烟直，长河落日圆” 中。诗句以极简的笔触，勾勒出大漠、孤烟、长河、落日四种核心景物，用 “直”“圆” 两个字精准描摹出景物的形态，构图层次分明，画面感极强，既展现出边塞风光的雄浑壮阔，也像一幅构图完整、意境悠远的山水画，完美体现了王维 “诗中有画” 的创作特点。
王维,使至塞上,请问《使至塞上》整首诗，围绕出使边塞的旅程依次写了哪些内容？抒发了诗人哪些复杂的情感？,这首诗首联先交代了诗人出使边塞的目的和要抵达的地点；颔联借征蓬、归雁自比，抒发了自己的飘零之感；颈联描绘了边塞大漠壮阔雄奇的风光；尾联写途中遇到侦察骑兵，得知主帅仍在前线。整首诗既抒发了诗人被排挤出朝廷的孤寂、飘零与愤懑之情，也表达了对边塞雄浑风光的赞叹，同时流露出对戍边将士的赞美之情。
岑参,白雪歌送武判官归京,《白雪歌送武判官归京》中，以春花喻冬雪，用浪漫奇绝的想象写尽边塞雪景神韵的千古名句是：__________,忽如一夜春风来，千树万树梨花开
